ID_Cliente,Cancelado,Genero,Adulto_Mayor,En_Pareja,Personas_a_Cargo,Meses_Permanencia,Servicio_Telefonico,Multiples_Lineas,Tipo_Internet,Seguridad_Online,Respaldo_Nube,Proteccion_Dispositivo,Soporte_Tecnico,TV_Streaming,Peliculas_Streaming,Tipo_Contrato,Factura_Digital,Metodo_Pago,Cargo_Mensual,Cargo_Total,cuentas_diarias
2275-RBYQS,0,Female,0,0,0,1,1,0,DSL,No,No,0,0,0,0,Month-to-month,1,Mailed check,45.4,45.4,1.0
2276-YDAVZ,1,Female,0,0,0,3,1,1,Fiber optic,No,No,0,0,0,0,Month-to-month,1,Credit card (automatic),75.1,270.7,3.604527296937417
2277-AXSDC,0,Female,0,0,0,32,1,0,No,No,No,0,0,0,0,One year,0,Bank transfer (automatic),19.75,624.15,31.60253164556962
2277-BKJKN,0,Female,1,1,0,71,1,0,Fiber optic,No,Yes,1,0,1,1,Two year,1,Electronic check,99.2,7213.75,72.71925403225806
2277-DJJDL,0,Male,1,1,0,60,1,1,Fiber optic,No,No,0,1,1,1,Month-to-month,1,Electronic check,99.0,6017.9,60.78686868686869
2277-VWCNI,0,Female,1,0,0,4,1,1,DSL,No,No,0,0,0,0,Month-to-month,0,Mailed check,48.75,179.85,3.689230769230769
2279-AXJJK,0,Male,0,1,0,52,1,1,Fiber optic,No,Yes,0,1,0,1,Month-to-month,1,Credit card (automatic),95.65,5088.4,53.19811813904861
2282-YGNOR,0,Female,0,0,0,29,1,0,DSL,Yes,No,1,1,0,0,One year,0,Credit card (automatic),58.0,1734.5,29.905172413793103
2284-VFLKH,0,Male,0,1,0,49,1,0,Fiber optic,No,No,1,1,1,1,One year,1,Credit card (automatic),99.25,4920.8,49.57984886649874
2292-XQWSV,0,Male,0,1,1,40,0,0,DSL,No,Yes,1,1,1,1,One year,0,Mailed check,60.3,2448.5,40.60530679933665
2293-IJWPS,0,Female,0,1,0,57,1,1,Fiber optic,No,No,1,0,1,1,One year,1,Credit card (automatic),100.75,5985.0,59.4044665012407
2294-DMMUS,0,Female,0,1,1,62,1,1,DSL,No,No,0,0,1,1,Month-to-month,1,Credit card (automatic),70.45,4300.45,61.04258339247693
2294-SALNE,0,Male,0,1,1,23,1,0,Fiber optic,No,Yes,1,1,0,0,One year,0,Mailed check,86.8,1940.8,22.359447004608295
2296-DKZFP,0,Female,0,1,0,65,1,0,DSL,Yes,Yes,1,0,0,1,Two year,0,Bank transfer (automatic),71.0,4386.2,61.777464788732395
2300-RQGOI,0,Female,0,0,0,38,1,0,No,No,No,0,0,0,0,Two year,0,Mailed check,20.05,741.5,36.98254364089775
2302-ANTDP,1,Female,1,1,0,48,1,1,Fiber optic,Yes,Yes,1,1,1,1,Month-to-month,0,Electronic check,117.45,5438.9,46.30821626223925
2302-OUZXB,0,Male,0,1,0,72,1,1,DSL,No,Yes,1,0,1,1,Two year,0,Bank transfer (automatic),82.15,5784.3,70.41144248326232
2303-PJYHN,0,Female,0,1,0,2,1,0,No,No,No,0,0,0,0,Month-to-month,0,Bank transfer (automatic),19.85,52.0,2.619647355163728
2305-MRGLV,0,Male,0,1,0,28,1,0,Fiber optic,No,No,0,1,0,0,Month-to-month,0,Bank transfer (automatic),76.55,2065.4,26.98105813193991
2307-FYNNL,0,Male,1,0,0,65,1,1,Fiber optic,Yes,No,1,1,1,1,Two year,1,Electronic check,109.05,7108.2,65.18294360385144
2308-STERM,0,Female,0,0,0,2,1,0,No,No,No,0,0,0,0,Month-to-month,0,Mailed check,19.4,61.05,3.1469072164948453
2309-OSFEU,1,Male,0,0,0,10,0,0,DSL,No,No,0,0,0,1,Month-to-month,1,Mailed check,33.9,298.45,8.803834808259587
2311-QYMUQ,1,Female,0,1,1,16,1,0,Fiber optic,No,Yes,1,0,1,0,Month-to-month,1,Credit card (automatic),89.45,1430.25,15.989379541643375
2314-TNDJQ,0,Female,0,1,1,72,0,0,DSL,Yes,Yes,1,1,0,1,Two year,0,Credit card (automatic),55.65,3880.05,69.722371967655
2316-ESMLS,0,Female,0,1,1,12,0,0,DSL,Yes,No,0,1,0,0,One year,0,Credit card (automatic),33.15,444.75,13.416289592760181
2320-JRSDE,1,Female,0,1,1,1,1,0,No,No,No,0,0,0,0,Month-to-month,1,Electronic check,19.9,19.9,1.0
2320-SLKMB,0,Female,0,0,0,26,0,0,DSL,No,No,1,1,1,0,Month-to-month,1,Credit card (automatic),44.45,1183.8,26.63217097862767
2320-TZRRH,0,Female,0,0,0,20,1,0,No,No,No,0,0,0,0,One year,0,Mailed check,19.5,403.15,20.674358974358974
2320-YKQBO,0,Female,0,0,0,7,1,0,No,No,No,0,0,0,0,Month-to-month,0,Mailed check,19.3,144.95,7.510362694300517
2321-OMBXY,1,Female,0,1,1,38,1,0,DSL,Yes,Yes,0,1,1,1,One year,0,Credit card (automatic),80.3,3058.65,38.09028642590287
2322-VCZHZ,0,Male,1,1,0,23,1,0,Fiber optic,Yes,Yes,0,0,0,1,Month-to-month,1,Electronic check,90.0,2024.1,22.49
2323-ARSVR,0,Male,0,1,0,67,1,0,Fiber optic,Yes,Yes,1,1,1,1,Two year,1,Electronic check,111.05,7321.05,65.92570914002702
2324-AALNO,0,Female,0,0,0,48,1,1,No,No,No,0,0,0,0,One year,0,Bank transfer (automatic),24.55,1203.95,49.04073319755601
2324-EFHVG,0,Male,0,0,0,64,1,1,Fiber optic,No,Yes,1,0,1,1,Two year,1,Bank transfer (automatic),104.4,6692.65,64.10584291187739
2325-NBPZG,0,Female,0,0,0,3,1,0,Fiber optic,Yes,No,0,0,0,0,Month-to-month,1,Electronic check,74.55,233.65,3.1341381623071767
2325-WINES,0,Female,0,0,0,32,1,1,Fiber optic,No,Yes,1,0,1,1,One year,1,Credit card (automatic),104.05,3416.85,32.83853916386353
2325-ZUSFD,1,Female,0,1,1,57,1,0,DSL,Yes,No,0,0,1,1,One year,1,Bank transfer (automatic),70.1,3913.3,55.824536376604854
2330-PQGDQ,0,Male,0,1,1,51,1,1,Fiber optic,No,Yes,0,1,0,0,One year,0,Bank transfer (automatic),84.2,4299.75,51.06591448931116
2332-EFBJY,1,Male,0,0,0,16,1,0,No,No,No,0,0,0,0,Month-to-month,1,Mailed check,19.7,342.4,17.380710659898476
2332-TODQS,0,Female,0,0,0,48,1,1,No,No,No,0,0,0,0,One year,0,Credit card (automatic),25.05,1171.5,46.76646706586826
2333-KWEWW,0,Male,0,0,0,18,1,0,No,No,No,0,0,0,0,Two year,0,Credit card (automatic),20.05,388.6,19.381546134663342
2335-GSODA,0,Male,0,0,1,23,0,0,DSL,Yes,No,1,1,0,0,Two year,0,Mailed check,40.1,857.75,21.390274314214462
2338-BQEZT,0,Female,0,0,0,55,1,0,DSL,Yes,No,0,0,0,0,Month-to-month,1,Credit card (automatic),50.55,2832.75,56.03857566765579
2342-CKIAO,0,Female,0,0,0,2,1,0,No,No,No,0,0,0,0,Month-to-month,0,Mailed check,20.3,41.2,2.0295566502463056
2344-JMOGN,1,Male,0,1,0,9,1,0,Fiber optic,No,Yes,1,1,1,0,Month-to-month,1,Mailed check,94.85,890.6,9.389562467053242
2346-CZYIL,0,Male,0,0,0,27,1,0,No,No,No,0,0,0,0,Two year,0,Credit card (automatic),20.35,531.6,26.12285012285012
2346-DJQTB,0,Female,0,0,0,35,0,0,DSL,No,No,0,0,0,0,Month-to-month,0,Electronic check,24.15,812.5,33.643892339544514
2346-LOCWC,0,Female,0,1,1,58,1,0,No,No,No,0,0,0,0,Two year,0,Credit card (automatic),20.5,1191.4,58.117073170731715
2347-WKKAE,0,Male,0,1,0,42,1,1,Fiber optic,Yes,No,1,0,0,1,Month-to-month,1,Electronic check,94.4,4014.6,42.52754237288135
2348-KCJLT,0,Female,0,1,0,44,1,0,DSL,Yes,Yes,1,0,0,0,One year,1,Mailed check,61.5,2722.2,44.263414634146336
2351-BKRZW,0,Female,0,1,1,43,1,0,DSL,Yes,No,1,0,1,1,Two year,0,Bank transfer (automatic),75.2,3254.35,43.275930851063826
2351-RRBUE,0,Female,0,1,1,7,1,0,No,No,No,0,0,0,0,One year,0,Mailed check,20.65,134.05,6.491525423728815
2353-VPYNS,0,Male,1,0,0,1,1,1,Fiber optic,No,No,0,0,0,0,Month-to-month,1,Electronic check,73.65,73.65,1.0
2357-COQEK,1,Female,1,0,0,28,1,1,Fiber optic,No,No,1,1,1,1,Month-to-month,1,Electronic check,103.3,2890.65,27.983059051306874
2359-KLTEK,0,Female,0,1,1,41,1,0,Fiber optic,No,No,1,0,1,1,Month-to-month,1,Bank transfer (automatic),94.9,3848.0,40.54794520547945
2359-KMGLI,1,Male,0,0,0,24,1,1,Fiber optic,No,Yes,0,0,0,0,Month-to-month,1,Electronic check,80.25,1861.5,23.19626168224299
2359-QWQUL,1,Female,0,1,0,39,1,0,Fiber optic,Yes,No,1,1,1,1,One year,1,Credit card (automatic),104.7,4134.85,39.49235912129895
2360-RDGRO,0,Male,0,1,0,65,1,1,Fiber optic,Yes,No,1,0,1,1,Month-to-month,1,Electronic check,104.25,6812.95,65.35203836930455
2361-FJWNO,0,Male,0,0,0,40,0,0,DSL,No,Yes,0,1,0,0,One year,0,Credit card (automatic),36.0,1382.9,38.41388888888889
2361-UPSND,0,Female,0,1,0,46,1,0,DSL,Yes,Yes,0,1,0,1,One year,0,Mailed check,70.6,3231.05,45.76558073654392
2362-IBOOY,1,Male,0,0,0,36,1,1,Fiber optic,No,No,0,0,0,1,Month-to-month,1,Electronic check,84.75,3050.15,35.98997050147493
2363-BJLSL,0,Male,0,0,0,62,1,0,DSL,No,Yes,1,1,1,1,Month-to-month,1,Bank transfer (automatic),80.4,4981.15,61.954601990049746
2364-UFROM,0,Male,0,0,0,30,1,0,DSL,Yes,Yes,0,1,1,0,One year,0,Electronic check,70.4,2044.75,29.044744318181817
2368-GAKKQ,0,Female,0,0,0,70,1,1,Fiber optic,Yes,Yes,1,1,1,1,Two year,1,Bank transfer (automatic),113.65,7939.25,69.85701715794104
2369-FEVNO,0,Male,0,0,0,1,1,0,No,No,No,0,0,0,0,Month-to-month,1,Mailed check,19.9,19.9,1.0
2369-UAPKZ,1,Male,0,0,0,5,1,1,Fiber optic,No,Yes,1,0,1,1,Month-to-month,0,Mailed check,104.1,541.9,5.2055715658021136
2371-JQHZZ,0,Male,0,1,0,24,1,1,Fiber optic,No,No,0,0,1,1,Month-to-month,1,Electronic check,93.0,2248.05,24.172580645161293
2371-JUNGC,0,Male,0,0,0,11,1,0,No,No,No,0,0,0,0,Month-to-month,0,Mailed check,20.25,208.0,10.271604938271604
2371-KFUOG,0,Male,0,0,0,58,1,0,Fiber optic,Yes,Yes,0,0,1,1,One year,0,Bank transfer (automatic),99.15,5720.95,57.69994957135653
2372-HWUHI,1,Male,0,0,0,2,1,0,DSL,No,No,0,0,0,0,Month-to-month,0,Electronic check,44.35,81.25,1.8320180383314544
2373-NTKOD,0,Male,0,0,0,8,1,0,DSL,No,No,0,0,1,1,Month-to-month,1,Electronic check,66.25,546.45,8.248301886792454
2378-HTWFW,0,Male,1,0,0,35,1,1,Fiber optic,Yes,No,0,0,0,1,Month-to-month,0,Credit card (automatic),91.0,3180.5,34.95054945054945
2378-VTKDH,0,Male,1,1,0,65,1,1,Fiber optic,No,Yes,1,0,1,1,Month-to-month,1,Electronic check,104.35,6578.55,63.04312410158122
2378-YIZKA,0,Female,0,1,1,68,1,0,DSL,Yes,Yes,1,1,1,1,Two year,1,Credit card (automatic),85.0,5607.75,65.9735294117647
2379-ENZGV,1,Male,0,0,0,6,1,0,Fiber optic,No,Yes,0,0,1,0,Month-to-month,1,Electronic check,84.85,523.5,6.169711255156158
2379-GYFLQ,0,Male,0,0,0,46,1,1,Fiber optic,No,Yes,1,0,1,0,One year,1,Credit card (automatic),94.9,4422.95,46.60642781875658
2380-DAMQP,0,Female,0,1,0,72,1,1,Fiber optic,Yes,Yes,1,1,1,1,Two year,0,Electronic check,115.15,8349.7,72.51150673035171
2382-BCKQJ,1,Female,0,0,1,62,1,1,Fiber optic,No,No,1,0,1,1,One year,1,Electronic check,100.15,6413.65,64.04043934098851
2384-OVPSA,0,Female,1,0,0,38,1,0,No,No,No,0,0,0,0,Two year,0,Mailed check,20.2,735.9,36.43069306930693
2386-LAHRK,1,Male,0,0,0,1,1,0,DSL,No,No,0,0,1,0,Month-to-month,1,Mailed check,53.5,53.5,1.0
2386-OWURY,0,Female,0,0,0,58,1,0,Fiber optic,No,No,0,1,1,1,Month-to-month,1,Electronic check,95.3,5817.7,61.04616998950682
2387-KDZQY,0,Male,0,0,0,17,1,0,No,No,No,0,0,0,0,One year,1,Mailed check,20.1,279.5,13.905472636815919
2388-LAESQ,0,Female,1,1,0,72,1,1,Fiber optic,Yes,Yes,1,1,1,1,Two year,1,Bank transfer (automatic),114.85,8317.95,72.42446669569004
2391-IPLOP,0,Male,0,1,1,50,1,1,DSL,No,No,1,1,1,0,One year,1,Electronic check,69.65,3442.15,49.42067480258435
2391-SOORI,1,Male,0,0,1,4,1,0,DSL,Yes,No,0,0,0,0,Month-to-month,0,Electronic check,49.35,219.65,4.450861195542046
2393-DIVAI,0,Female,0,0,0,3,1,0,No,No,No,0,0,0,0,Month-to-month,1,Mailed check,20.0,61.7,3.085
2397-BRLOM,1,Male,1,1,1,8,1,0,Fiber optic,No,No,0,0,1,0,Month-to-month,1,Credit card (automatic),80.45,583.45,7.252330640149161
2398-YPMUR,1,Female,1,1,0,13,1,0,Fiber optic,No,No,0,0,0,0,Month-to-month,1,Electronic check,70.15,916.75,13.068424803991446
2400-FEQME,0,Male,0,1,1,55,1,0,No,No,No,0,0,0,0,Two year,0,Mailed check,20.5,1177.95,57.4609756097561
2400-XIWIO,0,Female,0,1,0,71,1,1,DSL,Yes,Yes,1,1,1,1,Two year,0,Electronic check,90.1,6310.9,70.04328523862375
2402-TAIRZ,0,Female,0,0,0,37,1,0,Fiber optic,No,Yes,1,0,0,0,One year,0,Electronic check,80.05,3019.1,37.715178013741415
2403-BCASL,1,Male,1,1,1,41,1,1,Fiber optic,No,Yes,1,1,1,1,One year,1,Electronic check,111.95,4534.9,40.508262617239836
2404-JIBFC,0,Female,0,1,1,55,1,1,DSL,Yes,No,1,1,1,1,Two year,1,Bank transfer (automatic),85.1,4657.95,54.73501762632198
2405-LBMUW,0,Female,0,1,1,61,0,0,DSL,Yes,Yes,0,1,0,1,One year,1,Bank transfer (automatic),50.7,3088.75,60.92209072978304
2408-PSJVE,0,Male,0,1,1,44,1,0,DSL,No,Yes,1,1,0,0,Month-to-month,1,Mailed check,61.9,2924.05,47.23828756058159
2408-TZMJL,1,Male,0,1,0,59,1,1,Fiber optic,Yes,Yes,1,0,1,1,One year,1,Electronic check,110.15,6448.05,58.53881071266455
2408-WITXK,1,Female,1,0,0,10,0,0,DSL,No,No,0,0,0,1,Month-to-month,1,Electronic check,34.7,329.8,9.504322766570604
2410-CIYFZ,0,Male,0,0,1,2,1,0,No,No,No,0,0,0,0,Month-to-month,0,Mailed check,20.4,42.9,2.1029411764705883
2418-TPEUN,0,Female,0,1,1,56,1,0,No,No,No,0,0,0,0,Two year,1,Credit card (automatic),19.8,1119.9,56.56060606060606
2419-FSORS,0,Male,0,1,0,72,1,1,Fiber optic,No,Yes,1,1,1,1,Two year,1,Electronic check,108.4,7719.5,71.21309963099631
2424-GXJQO,0,Female,0,0,0,3,1,0,DSL,No,No,1,0,1,0,Month-to-month,0,Electronic check,57.55,161.45,2.8053866203301476
2424-WVHPL,0,Male,1,0,0,1,1,0,Fiber optic,No,No,0,1,0,0,Month-to-month,0,Electronic check,74.7,74.7,1.0
2428-HYUNX,0,Male,1,1,0,44,1,0,No,No,No,0,0,0,0,Two year,1,Credit card (automatic),19.35,847.25,43.78552971576227
2428-ZMCTB,0,Male,0,0,0,10,1,0,No,No,No,0,0,0,0,Month-to-month,0,Credit card (automatic),19.75,208.25,10.544303797468354
2429-AYKKO,0,Male,0,0,0,72,1,0,No,No,No,0,0,0,0,Two year,0,Bank transfer (automatic),19.85,1434.1,72.24685138539041
2430-RRYUW,0,Male,0,0,0,66,1,0,DSL,Yes,Yes,0,0,0,0,One year,1,Mailed check,54.8,3465.7,63.24270072992701
2430-USGXP,1,Male,0,1,0,24,1,1,Fiber optic,No,No,1,0,1,1,Month-to-month,1,Electronic check,101.05,2391.8,23.669470559129145
2432-TFSMK,0,Male,0,0,0,18,1,1,Fiber optic,No,No,1,0,1,0,One year,1,Credit card (automatic),89.6,1633.0,18.22544642857143
2433-KMEAS,1,Male,0,0,0,22,1,1,DSL,Yes,No,0,0,0,0,Month-to-month,1,Electronic check,54.45,1127.35,20.704315886134065
2434-EEVDB,0,Female,0,1,0,64,1,1,Fiber optic,Yes,No,1,0,1,0,Two year,1,Credit card (automatic),94.6,5948.7,62.88266384778013
2436-QBZFP,0,Female,0,1,1,22,0,0,DSL,No,Yes,0,0,1,0,Month-to-month,0,Electronic check,39.2,849.9,21.68112244897959
2439-LYPMQ,0,Male,1,1,0,38,1,1,Fiber optic,No,Yes,1,0,1,1,Month-to-month,1,Electronic check,102.6,4009.2,39.07602339181287
2439-QKJUL,0,Male,0,0,0,5,1,0,No,No,No,0,0,0,0,Month-to-month,0,Mailed check,20.25,109.8,5.4222222222222225
2446-BEGGB,1,Female,1,0,0,6,1,1,Fiber optic,No,Yes,0,0,1,1,Month-to-month,1,Electronic check,98.25,560.6,5.7058524173028
2446-PLQVO,1,Male,0,0,0,1,1,0,Fiber optic,No,No,0,0,0,0,Month-to-month,1,Electronic check,70.3,70.3,1.0
2446-ZKVAF,0,Male,0,1,0,18,1,1,DSL,No,Yes,0,0,0,0,Month-to-month,0,Credit card (automatic),56.8,1074.65,18.919894366197184
2450-ZKEED,0,Female,0,0,0,11,1,0,DSL,No,No,1,1,0,0,One year,0,Bank transfer (automatic),53.8,651.55,12.110594795539033
2451-YMUXS,0,Male,1,0,0,67,1,1,DSL,Yes,Yes,0,1,0,0,Two year,1,Bank transfer (automatic),64.55,4250.1,65.84198295894656
2452-KDRRH,0,Male,1,0,0,67,1,1,Fiber optic,No,No,1,0,1,1,Month-to-month,1,Credit card (automatic),101.4,6841.05,67.46597633136095
2452-MRMZF,0,Female,1,1,0,72,1,1,No,No,No,0,0,0,0,Two year,1,Credit card (automatic),25.7,1937.4,75.38521400778211
2452-SNHFZ,0,Female,0,0,0,47,1,0,Fiber optic,Yes,No,0,0,0,0,Month-to-month,0,Credit card (automatic),75.45,3545.1,46.986083499005964
2453-SAFNS,0,Female,1,0,0,54,1,1,DSL,No,Yes,0,1,1,0,One year,0,Mailed check,72.1,3886.05,53.89805825242719
2454-RPBRZ,1,Female,1,1,0,12,1,1,Fiber optic,No,Yes,1,0,1,0,Month-to-month,1,Electronic check,98.1,1060.2,10.807339449541285
2455-USLMV,0,Female,0,0,0,31,1,1,Fiber optic,Yes,No,1,0,0,0,Month-to-month,1,Credit card (automatic),84.75,2613.4,30.836578171091446
2458-EOMRE,0,Female,0,0,0,11,1,0,DSL,Yes,No,1,0,0,1,Month-to-month,0,Bank transfer (automatic),64.05,733.95,11.459016393442624
2460-FPSYH,1,Female,1,0,0,40,0,0,DSL,Yes,Yes,0,0,1,1,Month-to-month,1,Electronic check,55.8,2109.35,37.801971326164875
2460-NGXBJ,0,Male,1,1,1,11,1,1,Fiber optic,No,No,0,0,0,0,Month-to-month,1,Credit card (automatic),75.2,775.3,10.309840425531913
2462-XIIJB,1,Male,0,0,0,5,1,1,Fiber optic,No,No,1,0,1,0,Month-to-month,1,Electronic check,92.5,452.7,4.894054054054054
2465-BLLEU,0,Male,0,0,0,1,1,0,No,No,No,0,0,0,0,Month-to-month,1,Mailed check,19.75,19.75,1.0
2466-FCCPT,0,Female,0,1,1,20,1,0,No,No,No,0,0,0,0,One year,0,Bank transfer (automatic),19.7,395.6,20.081218274111677
2466-NEJOJ,0,Male,0,1,1,8,1,0,No,No,No,0,0,0,0,Month-to-month,0,Credit card (automatic),19.65,169.75,8.638676844783715
2468-SJFLM,0,Male,0,0,0,1,1,0,Fiber optic,No,No,0,1,0,0,Month-to-month,1,Mailed check,74.3,74.3,1.0
2469-DTSGX,0,Female,1,0,0,72,1,1,Fiber optic,No,Yes,1,1,1,1,Two year,0,Electronic check,111.65,7943.45,71.14599193909538
2472-OVKUP,1,Male,0,1,0,6,1,0,Fiber optic,No,Yes,1,0,0,1,Month-to-month,1,Electronic check,91.0,531.0,5.835164835164835
2474-BRUCM,1,Male,1,1,0,40,1,1,Fiber optic,Yes,No,0,0,1,1,Month-to-month,0,Electronic check,101.85,4086.3,40.120765832106045
2474-LCNUE,0,Female,0,1,0,23,1,1,DSL,No,No,0,1,1,1,Month-to-month,1,Credit card (automatic),73.65,1642.75,22.304820095044125
2475-MROZF,0,Male,0,0,0,30,1,1,Fiber optic,Yes,Yes,1,1,0,0,Month-to-month,1,Credit card (automatic),95.0,2852.4,30.025263157894738
2476-YGEFM,0,Female,0,0,0,29,1,1,Fiber optic,No,No,0,0,0,0,Month-to-month,1,Credit card (automatic),76.0,2215.25,29.148026315789473
2478-EEWWM,0,Male,0,1,0,59,0,0,DSL,No,No,0,0,1,1,Month-to-month,1,Electronic check,44.3,2666.75,60.19751693002258
2479-BRAMR,1,Male,1,1,0,41,1,1,Fiber optic,Yes,No,1,0,0,0,Month-to-month,1,Bank transfer (automatic),83.75,3273.55,39.08716417910448
2480-EJWYP,0,Female,1,1,0,58,1,1,Fiber optic,No,Yes,0,0,1,1,One year,1,Bank transfer (automatic),97.8,5458.8,55.8159509202454
2480-JZOSN,0,Female,0,1,0,1,1,0,No,No,No,0,0,0,0,Month-to-month,1,Mailed check,20.65,20.65,1.0
2480-SQIOB,0,Male,0,1,1,4,1,0,DSL,No,No,0,0,0,0,Month-to-month,0,Electronic check,44.8,169.65,3.7868303571428577
2481-SBOYW,0,Female,0,0,1,61,1,1,No,No,No,0,0,0,0,Two year,1,Credit card (automatic),25.0,1498.35,59.934
2482-CZGBB,1,Male,0,0,0,10,1,0,Fiber optic,No,No,0,0,0,0,Month-to-month,1,Electronic check,70.0,740.0,10.571428571428571
2483-XSSMZ,0,Female,0,0,0,39,1,0,DSL,Yes,No,0,0,0,0,One year,1,Electronic check,47.85,1886.4,39.42319749216301
2484-DGXPZ,1,Female,0,1,1,31,1,0,No,No,No,0,0,0,0,Month-to-month,1,Mailed check,19.55,658.95,33.70588235294118
2485-ITVKB,1,Female,0,1,0,2,0,0,DSL,No,No,0,0,0,1,Month-to-month,1,Electronic check,35.1,68.75,1.9586894586894585
2486-WYVVE,0,Male,0,1,0,31,1,1,DSL,No,No,1,1,1,1,One year,1,Mailed check,79.3,2484.0,31.32408575031526
2495-INZWQ,1,Male,0,0,0,4,0,0,DSL,No,No,0,0,1,1,Month-to-month,1,Electronic check,44.55,174.3,3.912457912457913
2495-KZNFB,0,Female,0,0,0,33,1,1,Fiber optic,Yes,No,0,0,0,1,Month-to-month,1,Electronic check,90.65,2989.6,32.97959183673469
2495-TTHBQ,0,Female,0,0,1,4,1,0,No,No,No,0,0,0,0,One year,1,Mailed check,20.4,84.75,4.154411764705882
2498-XLDZR,0,Female,0,1,1,32,1,0,DSL,Yes,Yes,1,1,0,1,Two year,0,Mailed check,73.6,2316.85,31.478940217391305
2499-AJYUA,0,Female,1,1,0,72,1,1,Fiber optic,No,Yes,1,1,1,1,Two year,1,Credit card (automatic),110.8,7882.25,71.139440433213
2501-XWWTZ,0,Male,0,0,0,11,1,0,Fiber optic,No,No,0,0,0,0,Month-to-month,0,Electronic check,70.2,760.05,10.826923076923077
2504-DSHIH,0,Male,1,1,0,23,1,1,Fiber optic,No,No,0,0,0,1,Month-to-month,0,Electronic check,86.8,1975.85,22.763248847926267
2506-CLAKW,1,Female,0,0,0,6,1,0,Fiber optic,Yes,Yes,1,1,0,1,Month-to-month,1,Bank transfer (automatic),98.15,567.45,5.781456953642384
2506-TNFCO,1,Female,1,1,0,1,1,0,Fiber optic,No,No,0,0,0,0,Month-to-month,1,Electronic check,69.55,69.55,1.0
2507-QZPQS,0,Male,0,0,0,15,1,1,Fiber optic,No,Yes,0,1,0,1,Month-to-month,0,Electronic check,95.7,1451.1,15.163009404388713
2508-QJJFP,0,Male,0,0,1,47,1,0,No,No,No,0,0,0,0,One year,0,Credit card (automatic),20.55,1013.05,49.296836982968365
2509-TFPJU,0,Male,0,1,0,72,1,1,No,No,No,0,0,0,0,Two year,0,Credit card (automatic),25.75,1864.2,72.39611650485438
2511-ALLCS,0,Female,0,1,1,35,1,1,No,No,No,0,0,0,0,Two year,0,Bank transfer (automatic),24.3,821.6,33.81069958847737
2511-MORQY,0,Male,0,1,1,50,1,1,DSL,No,No,1,0,0,0,One year,0,Bank transfer (automatic),54.9,2614.1,47.61566484517304
2514-GINMM,1,Male,0,0,0,1,1,0,Fiber optic,No,No,0,0,1,0,Month-to-month,1,Electronic check,79.5,79.5,1.0
2516-VQRRV,1,Female,1,0,0,2,1,1,Fiber optic,No,No,0,0,0,0,Month-to-month,1,Mailed check,75.45,158.4,2.099403578528827
2516-XSJKX,0,Female,0,1,1,41,1,0,DSL,Yes,Yes,0,1,1,1,Two year,0,Electronic check,78.45,3126.45,39.85277246653919
2519-ERQOJ,0,Male,1,0,0,33,0,0,DSL,No,No,1,1,1,1,Month-to-month,1,Electronic check,54.6,1803.7,33.03479853479853
2519-FAKOD,1,Male,0,0,1,38,1,1,Fiber optic,No,No,1,0,1,1,Month-to-month,1,Bank transfer (automatic),99.25,3777.15,38.05692695214106
2519-LBNQL,0,Male,1,1,0,60,1,1,Fiber optic,No,Yes,1,0,1,1,One year,1,Electronic check,104.35,6339.45,60.751796837565884
2519-TWKFS,0,Male,0,1,1,25,1,1,DSL,No,No,0,1,0,0,One year,1,Mailed check,55.1,1466.1,26.607985480943736
2520-SGTTA,0,Female,0,1,1,0,1,0,No,No,No,0,0,0,0,Two year,0,Mailed check,20.0,0.0,0.0
2521-NPUZR,0,Male,0,1,0,70,1,0,Fiber optic,Yes,Yes,1,1,0,1,Two year,0,Credit card (automatic),101.0,7085.5,70.15346534653466
2522-AHJXR,0,Male,0,1,0,60,1,1,Fiber optic,Yes,No,1,1,1,1,Month-to-month,1,Bank transfer (automatic),109.45,6572.85,60.053449063499315
2522-WLNSF,0,Female,1,1,0,34,1,0,DSL,No,No,1,1,1,0,One year,0,Bank transfer (automatic),64.2,2106.3,32.808411214953274
2523-EWWZL,0,Female,0,1,0,27,1,0,Fiber optic,No,Yes,0,0,0,0,Month-to-month,1,Electronic check,76.1,2093.4,27.50854139290408
2525-GVKQU,0,Female,0,0,0,60,1,0,No,No,No,0,0,0,0,Two year,0,Mailed check,20.6,1093.0,53.05825242718446
2528-HFYZX,1,Male,1,1,0,17,1,0,Fiber optic,No,Yes,0,0,0,0,Month-to-month,1,Electronic check,76.45,1233.4,16.133420536298235
2530-ENDWQ,1,Female,0,1,0,71,1,1,Fiber optic,No,No,0,0,1,1,Two year,1,Bank transfer (automatic),93.7,6585.35,70.28121664887941
2530-FMFXO,0,Male,0,1,1,56,1,1,Fiber optic,No,No,1,1,1,1,Two year,1,Electronic check,103.2,5873.75,56.91618217054263
2533-QVMSK,1,Male,0,1,0,61,1,1,Fiber optic,No,Yes,0,1,1,0,Two year,1,Electronic check,94.1,5638.3,59.91817215727949
2533-TIBIX,0,Male,0,1,1,15,0,0,DSL,Yes,No,0,0,0,0,Month-to-month,1,Bank transfer (automatic),30.2,469.65,15.551324503311259
2535-PBCGC,0,Female,0,1,0,70,0,0,DSL,Yes,Yes,1,1,1,1,Two year,0,Bank transfer (automatic),64.55,4504.9,69.78931061192874
